,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:03:2d,74:da:da:c1:02:91,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,0c:73:eb:d0:11:d8,74:da:da:98:74:34,74:da:da:c1:3a:8d,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:40,74:da:da:98:74:74,0c:73:eb:d0:13:90,74:da:da:c1:6b:4d,0c:73:eb:d0:13:c8,74:da:da:98:74:80,0c:73:eb:d0:13:98,74:da:da:c1:3a:81,d8:15:0d:6c:13:98,74:da:da:98:90:94,74:da:da:c1:3c:11,0c:73:eb:d0:7c:28,74:da:da:c1:3d:2d
1526447496577,-30,-41,-48,-56,-61,-62,-64,-65,-68,-69,-70,-80,-81,-81,-83,-84,-84,-85,-87,-88,-90,-91,-93,-93,-200
1526447499605,-26,-36,-49,-53,-57,-64,-72,-68,-72,-69,-66,-82,-81,-83,-83,-84,-200,-82,-87,-88,-85,-91,-200,-93,-200
1526447502630,-26,-36,-49,-53,-57,-64,-72,-68,-72,-69,-66,-82,-81,-83,-83,-84,-200,-82,-87,-88,-85,-91,-200,-93,-200
1526447505655,-26,-36,-49,-53,-57,-64,-72,-68,-72,-69,-66,-82,-81,-83,-83,-84,-200,-82,-87,-88,-85,-91,-200,-93,-200
1526447508681,-26,-33,-52,-53,-58,-69,-65,-70,-72,-69,-68,-80,-83,-85,-200,-86,-200,-84,-84,-200,-84,-86,-200,-200,-93
1526447511717,-26,-33,-49,-54,-58,-68,-65,-75,-71,-69,-68,-80,-85,-85,-89,-86,-200,-84,-84,-92,-84,-88,-200,-200,-93
1526447514747,-26,-33,-49,-54,-58,-68,-65,-75,-71,-69,-68,-80,-85,-85,-89,-86,-200,-84,-84,-92,-84,-88,-200,-200,-93
1526447517777,-26,-33,-49,-54,-58,-68,-65,-75,-71,-69,-68,-80,-85,-85,-89,-86,-200,-84,-84,-92,-84,-88,-200,-200,-93
1526447520816,-26,-33,-51,-52,-59,-70,-64,-72,-70,-71,-68,-84,-87,-200,-89,-200,-90,-83,-200,-92,-84,-88,-200,-200,-200
1526447523839,-26,-32,-49,-52,-59,-68,-64,-70,-69,-71,-67,-81,-87,-88,-89,-88,-86,-81,-200,-92,-84,-88,-200,-200,-200
1526447526878,-26,-32,-49,-52,-59,-68,-64,-70,-69,-71,-67,-81,-87,-88,-89,-88,-86,-81,-200,-92,-84,-88,-200,-200,-200
1526447529915,-26,-32,-49,-52,-59,-68,-64,-70,-69,-71,-67,-81,-87,-88,-89,-88,-86,-81,-200,-92,-84,-88,-200,-200,-200
1526447532962,-26,-32,-49,-52,-59,-68,-64,-70,-69,-71,-67,-81,-200,-88,-200,-88,-86,-81,-200,-200,-200,-200,-200,-200,-200
1526447535999,-25,-34,-51,-50,-59,-69,-65,-72,-71,-69,-66,-80,-83,-84,-200,-88,-84,-82,-200,-200,-83,-87,-200,-200,-200
1526447539026,-25,-34,-51,-50,-59,-69,-65,-72,-71,-69,-66,-80,-83,-84,-200,-88,-84,-82,-200,-200,-83,-87,-200,-200,-200
1526447542055,-25,-34,-51,-50,-59,-69,-65,-72,-71,-69,-66,-80,-83,-84,-200,-88,-84,-82,-200,-200,-83,-87,-200,-200,-200
1526447545093,-26,-34,-50,-52,-59,-70,-64,-70,-71,-70,-66,-82,-82,-84,-87,-200,-88,-82,-200,-200,-83,-87,-200,-200,-200
1526447548120,-26,-34,-50,-52,-59,-70,-64,-70,-71,-70,-66,-82,-82,-84,-87,-200,-88,-82,-200,-200,-83,-87,-200,-200,-200
1526447551147,-26,-34,-50,-52,-59,-70,-64,-70,-71,-70,-66,-82,-82,-84,-87,-200,-88,-82,-200,-200,-83,-87,-200,-200,-200
1526447554174,-26,-34,-50,-52,-59,-70,-64,-70,-71,-70,-66,-82,-82,-84,-87,-200,-88,-82,-200,-200,-83,-87,-200,-200,-200
1526447557212,-26,-32,-51,-54,-59,-69,-64,-70,-71,-70,-63,-85,-83,-200,-200,-89,-200,-84,-89,-200,-82,-87,-200,-200,-200
