,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:01,78:A5:04:41:E9:E8,78:A5:04:41:EB:B1,78:A5:04:41:E7:A3,78:A5:04:41:EB:D9
1526446746820,-94,-94,-82,-200,-200
1526446756466,-91,-200,-200,-200,-200
1526446761424,-93,-200,-200,-200,-200
1526446761648,-93,-200,-95,-98,-200
1526446766470,-95,-200,-94,-200,-200
1526446781589,-96,-200,-93,-95,-200
1526446791323,-94,-200,-200,-200,-98
1526446796751,-200,-200,-200,-200,-93
