,0116.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2E:16
1526460218765,-86,-200
1526460221144,-88,-200
1526460221767,-85,-96
1526460222387,-88,-200
1526460223632,-89,-200
1526460225621,-90,-94
1526460226267,-89,-200
1526460226887,-90,-91
1526460230133,-90,-200
1526460231514,-90,-200
1526460235365,-90,-94
1526460237984,-90,-91
1526460239252,-88,-95
1526460243113,-200,-95
1526460244485,-89,-93
1526460248353,-85,-90
1526460249609,-88,-89
1526460251109,-90,-91
1526460252350,-88,-200
1526460252957,-85,-94
1526460253594,-90,-89
1526460256214,-87,-92
1526460260593,-91,-200
1526460260703,-87,-200
1526460262586,-92,-88
1526460263815,-200,-94
1526460264447,-200,-92
1526460265188,-200,-94
1526460268433,-94,-87
1526460270812,-90,-88
1526460272430,-200,-90
1526460273053,-200,-92
1526460273692,-200,-90
1526460276435,-200,-92
1526460277075,-95,-93
1526460280053,-94,-93
