start_tamp,end_tamp,time,distance
1454507658512,1454507664852,6340,0.211590
1454507683882,1454507688462,4580,0.321630
1454508040042,1454508040742,700,0.140973
1454508045522,1454508049612,4090,0.404975
1454508050312,1454508063052,12740,0.601807
1454508064042,1454508065552,1510,0.186978
1454508179912,1454508183302,3390,0.210018
1454508184002,1454508184972,970,0.194542
1454508192582,1454508194252,1670,0.278511
1454508330772,1454508333232,2460,0.257252
1454508598732,1454508599802,1070,0.217385
1454508873142,1454508874422,1280,0.204569
1454509046182,1454509047112,930,0.186003
1454509162552,1454509163382,830,0.166726
1454509183992,1454509185792,1800,0.337586
1454509205152,1454509206052,900,0.181666
1454509286542,1454509300862,14320,0.430464
1454509382922,1454509383952,1030,0.207125
1454509479222,1454509480752,1530,0.205555
1454509610232,1454509611402,1170,0.234140
1454509763382,1454509764522,1140,0.203374
1454509783362,1454509784852,1490,0.298755
1454509788902,1454509792232,3330,0.197953
1454509812372,1454509813192,820,0.166367
